ID_CLIENTE,ES_EMPRESA,DNI_CUIT,CONTRASEÑA_CLIENTE,MAIL_CLIENTE
1,0,26544143,avIjOcd3D6,djosef0@nationalgeographic.com
2,1,30138941672,2X1b04a5T,dflecknoe1@europa.eu
3,1,30276745744,cxwbIqEV,khallows2@mapy.cz
4,1,30867123617,KhjImcYbalgN,bnaisey3@symantec.com
5,0,17361988,DDH3W150,rmartindale4@loc.gov
6,1,30376846638,SiZ1Kdj2i,jboorman5@wix.com
7,0,33451673,RQZtTUpl,tdaubney6@dion.ne.jp
8,0,25783588,j4lhoHPe3,gchennells7@blogspot.com
9,0,37965498,y8knnIszWUob,gsheekey8@msn.com
10,1,30836434234,fArMAGfu,rdecullip9@phoca.cz
11,0,49721997,KPA0lh,snoltona@wordpress.com
12,0,47291138,9LnWPfdg3t,ktibbitsb@rakuten.co.jp
13,1,30112535433,JonDXj,barnizc@wp.com
14,0,46614461,I4KVGP1,ssuggated@topsy.com
15,1,30823827748,vYAI00p0k,hlyndee@e-recht24.de
16,0,36313352,7BPYtDBgJG,awinsomef@angelfire.com
17,1,30782293599,unwwJgsjlz,btiddyg@unicef.org
18,1,30668787494,KgfNBAEFlf,tmeadenh@stanford.edu
19,1,30356445552,NdjWDPD,bandreoui@chron.com
20,1,30166236387,C77QFO99,slandersj@scientificamerican.com
21,0,11929538,0wxJhSdLgLKF,speelk@vistaprint.com
22,0,23259361,zB4JLAw1g,kdjekovicl@psu.edu
23,1,30899245353,bsDPOTc,dderrickm@technorati.com
24,0,11734292,8fn5yBGxW,apiggremn@sfgate.com
25,0,14352937,A8LqFE7nM2W,gkruschevo@acquirethisname.com
26,1,30268414614,haFNehX19JX6,mbootesp@jugem.jp
27,0,49578679,sC2jqPuTmxs,cyankeevq@amazonaws.com
28,1,30449629367,I0Q2db5,ifinnimorer@columbia.edu
29,0,26759151,KcIwGqPtG,eskalas@squidoo.com
30,1,30742698147,IRlmEbfeeQ,vgarcest@mysql.com
31,0,31322822,qt8w4WyWcl4,khartzenbergu@wired.com
32,0,31249667,vB3Ng52V,bmactavishv@tripod.com
33,0,31917732,piZFSWy,wsvanettiw@joomla.org
34,1,30382282972,Rv17Ki5BV2,iwartonx@marriott.com
35,0,33329253,wS7aIwcj,nmcfally@seesaa.net
36,0,14953594,D9CU0gr0wgd,blacostez@nba.com
37,0,33164863,qikXfcu285,avonnassau10@wikipedia.org
38,0,46666615,DPykpy8,mcraister11@webs.com
39,0,49518943,N3wK85nGA,jfarress12@imdb.com
40,1,30446897885,uBKT08svQ,bcorry13@blogspot.com
41,1,30652977556,VIoaTU,choworth14@paginegialle.it
42,0,28964622,PSWVwc,agiottini15@mediafire.com
43,0,27469445,Ng1vaQp7Fu,rscopes16@patch.com
44,1,30548579951,tH6h31GEOcW,ddeason17@loc.gov
45,0,21435583,Slw72IXEwc3,ayellowlea18@go.com
46,1,30586451745,58mfjmDBT3,jpossell19@mashable.com
47,1,30615357235,KegiRVQN2,abergen1a@fotki.com
48,1,30219914795,kv0Y3v9j6YrN,kgreystock1b@omniture.com
49,1,30651395555,qkyQGc,gmcgeorge1c@latimes.com
50,1,30496377278,QH8L3tool,creuben1d@aol.com
51,0,37254353,uldLAOjTSq,gmansford1e@a8.net
52,0,29232692,uonfkTMB,bcorsar1f@mashable.com
53,1,30214827145,dVVU8Y,nturrill1g@netlog.com
54,0,49849626,OVvP2Q,kmurricanes1h@usda.gov
55,0,34696242,btnEXhkc,ativolier1i@state.tx.us
56,0,38986698,al34WtZrun3,hkahan1j@drupal.org
57,1,30362198147,SogTZUV,ffoxhall1k@nyu.edu
58,1,30383188769,hjrx2FqLNsZi,kduckering1l@furl.net
59,1,30214317286,QaMrcmAeeS5x,zleavold1m@slashdot.org
60,0,16679898,n4LeiqwVh5Ku,twindibank1n@exblog.jp
61,0,26342829,Z7g7HtwhLu,xfulle1o@purevolume.com
62,1,30639525244,4MWM5PkWSo,frentcome1p@tinyurl.com
63,1,30125789775,RrfmNoZWtUj,jtromans1q@phoca.cz
64,1,30115843879,gDOsqZN6g,celsmore1r@weather.com
65,1,30433633833,KjVnkdZyPB3,arolingson1s@shinystat.com
66,0,17963672,0QyJ2sbw,stee1t@constantcontact.com
67,0,26187389,vIeHIPp,jcockman1u@ow.ly
68,0,27673637,aVMq9V,mbrammall1v@wp.com
69,1,30256888133,VWAVf5zP,cradborne1w@bravesites.com
70,1,30521647388,4egRQM,sernshaw1x@sohu.com
71,1,30464458445,xYdVq7,mrickaby1y@csmonitor.com
72,0,27485811,ZPWwEj7,alaverack1z@surveymonkey.com
73,1,30918222967,j26tmrKS,brao20@123-reg.co.uk
74,0,21217797,HNgMbuW,cedgell21@1688.com
75,1,30987676984,1OhzwBo0WYW,debbin22@biglobe.ne.jp
76,0,26764143,zrCSWiSI3ARm,lkornacki23@cbc.ca
77,0,18751787,TUbJ7WD,wbesse24@whitehouse.gov
78,0,47826155,hOKpDJ0F,dshellibeer25@youku.com
79,0,14868513,Zcr7sT0,voty26@sbwire.com
80,1,30712167529,lhIcPpWkC6Q,wtithecott27@pcworld.com
81,1,30418971559,XiQoXkc,judale28@ifeng.com
82,0,29512622,dwLjCVhVv,ppurdom29@wikispaces.com
83,1,30358733832,JZRzQm,ckenwright2a@infoseek.co.jp
84,0,44857628,NdfZIhxlQJ,telves2b@ca.gov
85,0,26624771,eG3KsFIl1W,cregus2c@apache.org
86,0,19211975,zQ4hCKtqs1,tbissex2d@bigcartel.com
87,1,30813477145,7eN0UAM,dgreeve2e@foxnews.com
88,1,30498558849,c6TNb9,agut2f@multiply.com
89,1,30829884583,xyuCvIlqoRw,mlamplough2g@gizmodo.com
90,1,30965552951,BxsqWCAmO,amonelle2h@t.co
91,1,30994918791,jcfDnU,tartz2i@squidoo.com
92,1,30423585617,p1U13x,rwedlake2j@google.cn
93,1,30544128574,CzMf0CCTxHS,ttackell2k@google.ru
94,1,30532765981,D72wZLkuE,mjemmison2l@cbslocal.com
95,1,30849711725,WGYzotdq,rgathercoal2m@examiner.com
96,0,26767872,AipWKgrRq,ldjekic2n@twitpic.com
97,0,13233624,ThAWEt9T9,risitt2o@sina.com.cn
98,0,48479699,EngjpnmO1,aheighway2p@ask.com
99,0,21292932,G6LhiLJ,cvolke2q@princeton.edu
100,1,30472291234,15uHue1XtMiU,mfri2r@technorati.com
101,0,38191749,j88Ih6LL,wmoretto2s@miibeian.gov.cn
102,1,30666376173,eGbJJPt1mGK,dplume2t@digg.com
103,0,35938344,h6kFf9T,ocoppledike2u@hhs.gov
104,1,30483996727,xuIoncSzBobb,rsalazar2v@gov.uk
105,1,30924855291,itvHHee,dcay2w@accuweather.com
106,1,30457151384,y3HfRgSS,rlimon2x@apple.com
107,0,26616266,95tzBrkEt0,dskullet2y@cnbc.com
108,0,34549511,LmmH7FF,szukerman2z@cbc.ca
109,0,12811722,4NzeUb,lbogaert30@google.com.br
110,0,28565813,x38dP8,bdrover31@msn.com
111,1,30646168535,QUAs9fiQIVP,kdussy32@deviantart.com
112,0,29724997,vYfiTaVXOV,mheffer33@techcrunch.com
113,0,46347232,pGg2Mqu,ncammomile34@nytimes.com
114,1,30643293141,02ho0s,lblackett35@csmonitor.com
115,0,12641462,loa8BI5c,pabrahams36@jigsy.com
116,0,19288381,tSOm7Z4ek,jcowle37@goodreads.com
117,0,12218526,gH8zxp9VY9,nkrahl38@studiopress.com
118,1,30633539893,vAhMlolpmZn,fthrasher39@tumblr.com
119,0,27791414,dDa3sBSAxT7,farchbold3a@hatena.ne.jp
120,0,37481543,pQruEanOVg,cmaccartney3b@columbia.edu
121,1,30221475415,qtByBJz0v2,kscryne3c@blogtalkradio.com
122,0,23981226,7PTNAnhGXk,ebrastead3d@tumblr.com
123,1,30867536964,DwkVjru2,gdysart3e@trellian.com
124,1,30326171272,P0ZFk9Q,erefford3f@nih.gov
125,0,36898839,gC88AQuTE7J,zhowarth3g@issuu.com
126,0,23517387,pQXaIM,wcorby3h@lulu.com
127,0,35635744,eXcTRMM,slates3i@weebly.com
128,1,30393932837,v9RgZ0K3X,pknollesgreen3j@engadget.com
129,0,39544577,I3bZERxHa,agrave3k@google.es
130,0,33436914,YMaSIhrXRQH,mcremen3l@va.gov
131,1,30656414664,g2uqu0r,hmacaskie3m@illinois.edu
132,1,30834736397,8j9XDsTh6JU,bjardine3n@mac.com
133,1,30458498119,haeLZaC4dCK,nstroton3o@google.de
134,0,37273736,HR5FpZYFyrP,bantoniottii3p@oaic.gov.au
135,1,30798311161,CyLXNA9P,btullis3q@dropbox.com
136,0,36452525,U9zg9n,lpevsner3r@bing.com
137,0,16863519,aUBSEFS7uS,kvasovic3s@geocities.jp
138,1,30753756555,ZYMyBv,cballoch3t@ovh.net
139,0,37169166,eqWchPEVQ8V5,sbeilby3u@nasa.gov
140,1,30243945439,7YQIDiF,eadan3v@clickbank.net
141,0,36165641,uUqe0TS,byesinov3w@linkedin.com
142,0,43272475,kj4ZrZd,talbury3x@hc360.com
143,0,39629534,41JNs3ivi0E0,iricco3y@si.edu
144,0,28279959,FMlIgrs,pfortescue3z@nps.gov
145,1,30173536438,KiG3Ot4,crubinshtein40@naver.com
146,1,30681491142,UqcMMFMFh7lJ,rfrickey41@bbc.co.uk
147,0,29164453,JPJVCH5,rauger42@slashdot.org
148,0,26516594,sOiwjizCRXac,divimey43@nifty.com
149,1,30513577294,F9M6fAgsSF,vnoads44@mlb.com
150,1,30759978644,Lcx47m8m5Y,dlaslett45@xinhuanet.com
151,0,27848281,1agxyu,wbrambell46@moonfruit.com
152,1,30563511945,bGpMup,lmcettrick47@constantcontact.com
153,0,38667771,kzu3PPQKjQK,abeardmore48@google.com.au
154,1,30269693291,VEcnlsra,ostormont49@hud.gov
155,1,30318546415,eNF2ZDxPd,iganiford4a@deviantart.com
156,0,38679933,5v7fzw,kcarme4b@yahoo.co.jp
157,0,29842268,obQ9yZu,ahallum4c@mac.com
158,1,30476515457,KuuXbgymu,freneke4d@wisc.edu
159,1,30593574545,nagrUMDwH,escamadine4e@stumbleupon.com
160,0,14478751,nMFNuJ8,aferrelli4f@wikipedia.org
161,0,26987812,1vnx9YboYb,dcrich4g@technorati.com
162,0,28464346,0Bdldsvn,wwhitehead4h@mayoclinic.com
163,0,29159224,CbCZUWlTVfXP,ctregenza4i@taobao.com
164,1,30668337391,cGiWi3U,cswainger4j@csmonitor.com
165,1,30772578872,2yfJnvS,hdeacock4k@illinois.edu
166,1,30479926644,8rmAoygyShhG,mpittford4l@noaa.gov
167,0,34137732,B4SOnBPkcPc,sgrzesiak4m@pagesperso-orange.fr
168,0,28527647,N5yV2c,jflecknoe4n@oracle.com
169,0,21884861,mSTn2wy,drenachowski4o@mac.com
170,1,30852572442,j9dKsQJazq8,tputtock4p@independent.co.uk
171,0,29815817,k0DhCBOyf,uhurran4q@usatoday.com
172,0,48641467,mFuceADIx,ehalwill4r@t-online.de
173,1,30665974838,oDCvhc4C,abessey4s@icq.com
174,1,30986318782,dqKE24rSbj,nledbetter4t@phoca.cz
175,1,30529711652,KjsUVYI4aQqr,bjahns4u@unblog.fr
176,1,30942856887,unH1Up4o,btull4v@bloglines.com
177,0,37682288,RNcrNNnO1,fmacrannell4w@sourceforge.net
178,1,30949272486,mrbAY4P,dcleminson4x@walmart.com
179,0,34892264,IPJWqO,btomlett4y@shareasale.com
180,1,30558526817,CYifnKuS7iX,trase4z@themeforest.net
181,0,12314761,YJHD8Hf8yO,ncommings50@ycombinator.com
182,1,30276849979,RTPvA3jDo0m,eponde51@live.com
183,1,30384843781,vsHFrR26W,eforson52@infoseek.co.jp
184,1,30858127966,8FM6XGm2eov,ajacop53@vistaprint.com
185,1,30324326554,7ERYMADqqRV,kmckellen54@ocn.ne.jp
186,1,30233364834,MimSe9,lpetrakov55@pbs.org
187,0,36727785,vZipqj,nscadden56@weibo.com
